iter	Passed	Remaining
0	2	2665
1	5	2667
2	7	2601
3	10	2564
4	12	2574
5	15	2602
6	18	2562
7	20	2575
8	23	2541
9	25	2557
10	28	2574
11	31	2578
12	33	2567
13	36	2552
14	38	2547
15	41	2544
16	43	2537
17	46	2516
18	47	2461
19	49	2423
20	51	2409
21	53	2398
22	56	2394
23	59	2401
24	61	2387
25	63	2376
26	65	2365
27	67	2355
28	70	2344
29	72	2338
30	74	2316
31	76	2304
32	78	2293
33	80	2284
34	82	2265
35	84	2257
36	86	2252
37	88	2237
38	90	2242
39	93	2237
40	95	2230
41	97	2225
42	99	2218
43	101	2214
44	103	2200
45	104	2177
46	107	2175
47	109	2179
48	112	2178
49	114	2176
50	116	2174
51	119	2177
52	121	2179
53	124	2175
54	126	2169
55	128	2164
56	130	2159
57	133	2161
58	136	2184
59	139	2186
60	142	2187
61	144	2186
62	146	2184
63	149	2185
64	151	2186
65	154	2181
66	156	2177
67	158	2172
68	160	2168
69	162	2163
70	165	2160
71	166	2152
72	169	2148
73	171	2144
74	172	2130
75	174	2126
76	177	2122
77	179	2121
78	182	2121
79	184	2119
80	186	2114
81	188	2106
82	190	2107
83	194	2116
84	196	2119
85	199	2119
86	201	2116
87	203	2110
88	206	2112
89	209	2115
90	212	2118
91	214	2120
92	217	2121
93	219	2119
94	222	2118
95	224	2117
96	227	2120
97	230	2119
98	232	2119
99	235	2116
100	237	2114
101	240	2113
102	242	2114
103	245	2113
104	247	2110
105	249	2105
106	251	2101
107	253	2097
108	256	2097
109	258	2094
110	261	2090
111	263	2087
112	265	2083
113	267	2081
114	270	2080
115	273	2083
116	275	2079
117	277	2077
118	280	2073
119	282	2070
120	284	2067
121	287	2068
122	289	2067
123	292	2064
124	294	2061
125	296	2058
126	298	2052
127	301	2050
128	303	2050
129	306	2050
130	308	2046
131	310	2043
132	313	2042
133	315	2039
134	318	2039
135	320	2037
136	322	2033
137	324	2029
138	327	2026
139	329	2023
140	331	2021
141	334	2020
142	336	2017
143	338	2011
144	339	2002
145	341	1999
146	344	1996
147	346	1994
148	348	1991
149	350	1988
150	353	1985
151	355	1982
152	357	1976
153	359	1974
154	361	1972
155	364	1972
156	365	1964
157	368	1962
158	370	1961
159	373	1960
160	375	1958
161	378	1958
162	381	1957
163	383	1955
164	386	1958
165	390	1963
166	393	1963
167	396	1963
168	398	1961
169	401	1959
170	403	1958
171	406	1956
172	409	1958
173	412	1959
174	415	1959
175	418	1960
176	421	1958
177	424	1958
178	427	1959
179	429	1958
180	432	1957
181	435	1956
182	437	1954
183	440	1954
184	443	1952
185	445	1950
186	448	1949
187	451	1948
188	453	1948
189	457	1948
190	459	1948
191	462	1947
192	465	1946
193	468	1945
194	470	1942
195	473	1943
196	476	1941
197	478	1940
198	481	1938
199	483	1935
200	487	1935
201	488	1930
202	491	1928
203	493	1924
204	495	1920
205	497	1918
206	500	1918
207	503	1918
208	506	1916
209	509	1914
210	511	1913
211	514	1913
212	519	1917
213	522	1919
214	525	1920
215	528	1919
216	531	1918
217	534	1916
218	537	1915
219	539	1911
220	541	1910
221	544	1908
222	547	1908
223	551	1909
224	553	1908
225	556	1907
226	559	1906
227	562	1905
228	565	1903
229	568	1902
230	571	1902
231	574	1901
232	577	1899
233	579	1897
234	582	1897
235	585	1894
236	587	1891
237	589	1887
238	591	1883
239	593	1879
240	596	1878
241	598	1875
242	601	1874
243	604	1871
244	606	1868
245	609	1867
246	611	1864
247	613	1861
248	615	1857
249	617	1853
250	620	1850
251	622	1847
252	624	1844
253	626	1841
254	629	1838
255	631	1833
256	633	1830
257	635	1827
258	637	1825
259	640	1822
260	642	1820
261	645	1817
262	647	1813
263	649	1810
264	651	1807
265	654	1805
266	656	1802
267	658	1799
268	661	1796
269	663	1793
270	666	1791
271	669	1790
272	672	1789
273	674	1786
274	676	1783
275	678	1780
276	681	1778
277	684	1777
278	686	1774
279	689	1771
280	690	1766
281	692	1763
282	694	1759
283	697	1757
284	699	1755
285	701	1752
286	704	1749
287	706	1746
288	708	1743
289	710	1740
290	713	1737
291	715	1735
292	717	1732
293	720	1729
294	722	1726
295	724	1723
296	727	1720
297	729	1719
298	731	1714
299	733	1712
300	736	1710
301	739	1709
302	742	1708
303	745	1706
304	747	1703
305	749	1698
306	751	1697
307	754	1694
308	756	1692
309	759	1690
310	761	1687
311	765	1687
312	768	1686
313	771	1684
314	773	1682
315	776	1680
316	778	1677
317	780	1674
318	783	1672
319	785	1669
320	789	1669
321	791	1667
322	794	1665
323	797	1663
324	799	1661
325	803	1660
326	805	1658
327	808	1655
328	810	1653
329	812	1650
330	815	1647
331	817	1645
332	820	1644
333	822	1639
334	824	1635
335	826	1633
336	828	1630
337	831	1628
338	833	1624
339	835	1622
340	838	1619
341	840	1617
342	842	1614
343	844	1610
344	846	1608
345	849	1606
346	852	1603
347	853	1599
