iter	Logloss
0	0.6913709218
1	0.6890293193
2	0.6864100454
3	0.6836192645
4	0.6818897852
5	0.6793380664
6	0.6771619783
7	0.6752592378
8	0.6733602639
9	0.6709768837
10	0.6691097541
11	0.6672700223
12	0.6652145596
13	0.6633280919
14	0.6612605251
15	0.6594468021
16	0.6575660313
17	0.6563840127
18	0.6545128051
19	0.6529483583
20	0.6517057774
21	0.6502574198
22	0.6484106486
23	0.6466491727
24	0.6451176558
25	0.6434456528
26	0.6419478608
27	0.6402344728
28	0.6386607695
29	0.6368794342
30	0.6354348092
31	0.6343956129
32	0.632689619
33	0.6311828117
34	0.6300734877
35	0.628475884
36	0.6273020355
37	0.62576238
38	0.6244456936
39	0.6229081074
40	0.6215790903
41	0.6198408681
42	0.6188534503
43	0.6173445212
44	0.6162570421
45	0.6150518353
46	0.6139314083
47	0.6126480823
48	0.6112748428
49	0.610569767
50	0.6092940802
51	0.6078223396
52	0.6064315442
53	0.6050988642
54	0.6038556549
55	0.6026357623
56	0.6015591904
57	0.6007240045
58	0.5994873698
59	0.5980094982
60	0.5968508504
61	0.5959356172
62	0.5946858042
63	0.593675397
64	0.592565299
65	0.5916479511
66	0.5904050903
67	0.5897398926
68	0.5888869205
69	0.5879743357
70	0.5870216712
71	0.5860839774
72	0.5850880859
73	0.5841569005
74	0.5837093937
75	0.5830299378
76	0.5821180221
77	0.5813075866
78	0.5804646833
79	0.5794727734
80	0.5787884458
81	0.5777991029
82	0.5771831912
83	0.5763406916
84	0.5755427357
85	0.5746957109
86	0.5738542527
87	0.5733267121
88	0.5729733243
89	0.5722785577
90	0.5713832958
91	0.5705261023
92	0.5697826811
93	0.5692748087
94	0.5684062791
95	0.5678283538
96	0.5673121445
97	0.5663893441
98	0.5657516024
99	0.5651766442
100	0.5644733354
101	0.5637137816
102	0.5633976323
103	0.5627589127
104	0.5620744061
105	0.5617033154
106	0.5611691359
107	0.5606363901
108	0.5600578538
109	0.5596594734
110	0.5591044837
111	0.5586340092
112	0.5579590959
113	0.5575209337
114	0.5571719879
115	0.5565561153
116	0.5558673376
117	0.555264654
118	0.5546636688
119	0.5542029967
120	0.5536319102
121	0.5529879992
122	0.5522425122
123	0.5516637495
124	0.551153667
125	0.5509066269
126	0.5504100375
127	0.5497800059
128	0.549296801
129	0.5487176004
130	0.5481816439
131	0.5477618152
132	0.5473911746
133	0.5468436237
134	0.5462146636
135	0.5458665059
136	0.5454729906
137	0.5449404546
138	0.5446107588
