iter	Passed	Remaining
0	1	1808
1	4	2238
2	6	2275
3	9	2326
4	10	2140
5	13	2179
6	15	2211
7	17	2225
8	20	2231
9	22	2242
10	25	2257
11	27	2265
12	30	2296
13	32	2320
14	35	2321
15	37	2322
16	40	2321
17	41	2272
18	44	2294
19	46	2286
20	49	2286
21	50	2248
22	52	2249
23	55	2242
24	57	2242
25	60	2254
26	62	2263
27	65	2265
28	68	2278
29	70	2272
30	72	2272
31	74	2262
32	77	2263
33	79	2262
34	81	2240
35	83	2245
36	86	2253
37	90	2295
38	93	2300
39	95	2299
40	98	2301
41	100	2302
42	103	2298
43	106	2308
44	108	2312
45	111	2317
46	122	2484
47	125	2488
48	128	2489
49	129	2466
50	132	2462
51	135	2477
52	138	2482
53	141	2479
54	144	2474
55	146	2470
56	149	2472
57	152	2471
58	154	2459
59	156	2455
60	159	2451
61	162	2461
62	165	2460
63	167	2456
64	170	2452
65	172	2447
66	176	2451
67	178	2442
68	180	2435
69	182	2430
70	185	2425
71	187	2422
72	190	2422
73	193	2420
74	195	2405
75	197	2405
76	200	2401
77	202	2395
78	205	2398
79	208	2394
80	210	2390
81	213	2385
82	214	2374
83	217	2369
84	220	2369
85	223	2371
86	225	2369
87	228	2366
88	230	2354
89	232	2348
90	235	2348
91	238	2349
92	240	2350
93	242	2339
94	245	2336
95	247	2332
96	250	2329
97	252	2327
98	255	2322
99	257	2318
100	260	2315
101	262	2311
102	264	2301
103	267	2300
104	269	2297
105	271	2287
106	273	2283
107	275	2279
108	279	2285
109	282	2289
110	285	2285
111	287	2281
112	290	2278
113	292	2276
114	295	2271
115	298	2271
116	300	2268
117	303	2267
118	305	2263
119	308	2259
120	310	2256
121	313	2259
122	316	2257
123	319	2254
124	321	2250
125	323	2240
126	326	2240
127	329	2241
128	331	2237
129	333	2233
130	336	2229
131	338	2225
132	341	2223
133	343	2222
134	346	2219
135	348	2211
136	350	2207
137	352	2203
138	355	2201
139	358	2200
140	360	2198
141	363	2195
142	365	2191
143	368	2187
144	371	2192
145	374	2191
146	377	2189
147	380	2187
148	382	2184
149	383	2174
150	386	2172
151	389	2170
152	391	2166
153	393	2163
154	396	2160
155	398	2157
156	401	2156
157	403	2149
158	405	2145
159	408	2142
160	410	2139
161	413	2136
162	415	2134
163	418	2132
164	420	2130
165	423	2126
166	425	2123
167	428	2119
168	430	2117
169	433	2117
170	436	2114
171	438	2110
172	440	2107
173	443	2104
174	445	2101
175	448	2099
176	450	2096
177	453	2093
178	454	2085
179	457	2082
180	459	2080
181	462	2079
182	465	2079
183	468	2076
184	470	2073
185	473	2070
186	475	2067
187	478	2068
188	481	2067
189	484	2065
190	487	2064
191	489	2061
192	492	2058
193	495	2056
194	497	2054
195	500	2051
196	502	2048
197	505	2045
198	508	2045
199	510	2043
200	511	2035
201	514	2032
202	516	2028
203	519	2025
204	521	2024
205	524	2021
206	526	2018
207	529	2015
208	530	2008
209	533	2005
210	535	2002
211	538	2000
212	540	1998
213	543	1994
214	545	1991
215	547	1987
216	550	1985
217	553	1985
218	555	1982
219	558	1979
220	560	1976
221	563	1973
222	565	1970
223	568	1969
224	570	1963
225	572	1960
226	574	1957
227	576	1951
228	578	1948
229	581	1945
230	583	1943
231	586	1940
232	588	1936
233	590	1932
234	592	1929
235	594	1925
236	597	1924
237	599	1921
238	602	1917
239	604	1913
240	606	1910
241	608	1907
242	611	1903
243	613	1902
244	616	1899
245	618	1895
246	620	1892
247	622	1888
248	625	1886
249	627	1882
250	630	1880
251	632	1877
252	634	1873
253	636	1870
254	639	1867
255	640	1861
256	643	1860
257	646	1858
258	649	1857
259	652	1856
260	654	1853
261	656	1850
262	659	1848
263	661	1845
264	664	1841
265	666	1838
266	668	1835
267	670	1832
268	674	1832
269	676	1830
270	679	1827
271	682	1825
272	684	1823
273	687	1820
274	690	1819
275	692	1816
276	694	1813
277	697	1810
278	698	1806
279	701	1803
280	704	1802
281	706	1799
282	709	1796
283	711	1793
284	713	1790
285	715	1785
286	717	1782
287	720	1780
288	722	1777
289	724	1774
290	727	1771
291	729	1768
292	731	1765
293	734	1764
294	736	1761
295	739	1758
296	741	1755
297	743	1751
298	746	1749
299	748	1745
300	751	1745
301	754	1743
302	756	1740
303	758	1737
304	761	1734
305	763	1731
306	766	1729
307	767	1723
308	769	1720
309	771	1717
310	773	1714
311	776	1711
312	777	1707
313	780	1705
314	782	1702
315	785	1699
316	787	1696
317	789	1693
318	791	1690
319	794	1688
320	796	1685
321	798	1680
322	800	1677
323	802	1673
324	804	1670
325	806	1667
326	809	1665
327	811	1663
328	814	1660
329	815	1656
330	818	1653
331	820	1650
332	822	1647
333	824	1643
334	826	1641
335	829	1638
336	831	1636
337	834	1634
338	837	1632
339	839	1630
340	842	1627
341	844	1624
342	846	1621
343	847	1617
344	850	1613
345	852	1610
346	855	1609
347	857	1607
348	860	1604
349	862	1602
350	865	1599
351	866	1595
352	869	1593
353	872	1591
354	874	1588
355	876	1586
356	878	1583
357	881	1580
358	883	1577
359	886	1575
360	888	1573
361	890	1570
362	892	1566
363	894	1563
364	896	1560
365	899	1557
366	901	1555
367	904	1552
368	906	1549
369	908	1546
370	910	1543
371	912	1540
372	915	1538
373	917	1536
374	920	1533
375	922	1530
376	924	1527
377	926	1524
378	928	1522
379	931	1520
380	934	1517
381	936	1514
382	938	1511
383	940	1508
384	942	1506
385	944	1503
386	947	1501
387	949	1498
388	952	1495
389	954	1492
390	956	1489
391	957	1485
392	959	1482
393	962	1480
394	964	1477
395	965	1473
396	968	1470
397	970	1467
398	971	1463
399	974	1461
400	976	1458
401	979	1456
402	981	1453
403	983	1450
404	985	1448
